order_detail_id,order_id,product_id,product_price,order_quantity,shipping_Address,city,postcode
38813751,85080821,83402982,31.38,3,Studio 3,Belfast,EX6 2NX
15757097,93619969,23988989,49.52,3,62 Katie trace,Manchester,CT75 7JZ
70691675,01699543,16487613,17.49,4,Studio 4,Birmingham,S3 9BL
31168511,20542796,27643882,16.16,2,19 Leah islands,Glasgow,N59 6ZH
49255131,30434217,74049637,18.33,3,2 Jayne row,Liverpool,E61 1SR
33104865,00442991,53895138,5.52,2,Flat 48c,Bristol,NR6B 2SL
48068367,64068117,94891449,75.72,2,Flat 69H,Newcastle,SW9 7HP
55677625,19231768,95327753,707.75,3,1 Victoria motorway,London,L9 9XB
52124608,40221212,56112656,27.12,2,715 Roberts stravenue,Edinburgh,W92 5UD
66782385,93913172,98496356,45.18,3,Studio 9,Cardiff,RH67 9FL
67546962,29171464,87951673,91.72,1,Studio 90f,Cardiff,E4 1TU
94186942,01451523,73239244,98.16,1,Studio 51D,Belfast,N4A 8UA
01510579,65984505,14529201,509.03,3,Studio 14I,Manchester,E35 4RR
78152650,90954678,69894676,15.28,3,Flat 34P,Birmingham,DD0A 3GX
92217910,71266599,36193499,16.76,2,25 Cooper underpass,Glasgow,BD22 2BQ
67697030,94739747,00237287,74.25,4,Flat 21G,Liverpool,S5 9UH
41918939,88590412,61463942,48.97,2,Flat 33,Bristol,G7 1TJ
03516459,92458986,89839546,156.17,3,Flat 1,Newcastle,NP8 2AZ
63943307,63334493,57644040,79.73,3,Flat 1,London,S60 7YX
16725331,40243953,18703140,193.69,1,Studio 69v,Edinburgh,LL24 7AQ
74422005,42624768,90669708,73.89,4,Flat 29,Cardiff,CH0N 0ST
36222238,42622752,04057937,620.52,3,Flat 03,Belfast,W5A 1UN
62539658,65100224,71602929,11.22,2,Studio 41s,Manchester,L18 4FL
76937408,01165798,71602929,11.22,1,28 Wilson springs,Birmingham,LN5R 5YB
64804255,66714579,19797627,825.42,1,675 Kevin ways,Glasgow,LD6 0WY
16103815,99044916,56419948,50.48,4,35 Stephen ferry,Liverpool,S60 6ES
28441495,74787648,45060444,94.8,3,Studio 55Z,Bristol,LN21 3DS
29878855,88645666,45308851,79.57,1,5 Molly causeway,Newcastle,E2A 5RG
81388812,77107235,98998293,20.86,4,Flat 58,London,KA8Y 4TJ
37234510,02772585,99003221,31.51,4,221 Alice plain,Edinburgh,SM2 2GU
08572685,88662517,86874196,27.55,3,08 Ashleigh wells,Cardiff,BD4 7LW
75623627,16236144,49377369,86.65,3,89 Evans crossroad,Belfast,AL9X 1PY
58465432,90847977,08414737,344.72,3,1 Paige well,Manchester,GY9B 5XF
04926555,26227106,67690961,41.31,3,Studio 44,Birmingham,NN8Y 2JS
68709119,53948821,12847038,8.45,2,3 Barbara valleys,Glasgow,CW7E 1WL
86563779,39498128,75941240,13.58,2,2 Chapman viaduct,Liverpool,DE3 2YL
03576773,94350377,76319599,50.92,4,61 Damian squares,Bristol,G2 6RJ
05531254,68092251,87951673,91.72,3,Flat 92,Newcastle,CV3 0ER
55211589,42987318,86006498,173.8,2,Flat 2,London,KA4 9AU
09305777,43332047,44985813,92.63,1,Studio 00,Edinburgh,N5W 6QY
21194117,47534798,58625962,94.2,3,Studio 29C,Cardiff,B1 3LJ
86409131,23748743,12628369,20.5,2,72 Josephine circle,Edinburgh,IM1 3ND
31902136,06297463,00237287,74.25,2,5 Robin spurs,Belfast,FK25 0BA
76933397,46035428,76319599,50.92,4,Flat 2,Manchester,G47 4QX
15050242,47384154,17149009,85.05,3,14 Davies overpass,Birmingham,KA4N 3HE
60977985,25644207,94412162,24.35,4,Studio 0,Glasgow,BA36 1YX
38635088,04635291,57644040,79.73,4,Flat 30O,Liverpool,SR4E 5AG
81947849,43428244,34208577,747.27,2,Flat 8,Bristol,W1D 7NP
69880011,82941718,19797627,825.42,1,78 Shaw key,Newcastle,HG25 5BF
64337509,77130265,29237240,76.84,2,377 Adam station,London,N6 5ZT
52183823,98870737,34572256,72.77,4,Studio 5,Cardiff,L3G 9RS
50818804,78421295,98998293,20.86,3,595 Elliott gardens,Edinburgh,GY5A 9GD
09672734,36263681,23988989,49.52,3,8 Kim mountain,Cardiff,L3 8DP
88951455,33899405,35632473,77.52,3,2 Cook forks,Belfast,M9F 0AH
16313282,47341808,76319599,50.92,4,Studio 9,Manchester,M6 3PT
15128828,77379849,20593375,16.56,3,603 Ford cove,Birmingham,WN86 3YB
17067815,49859207,58625962,94.2,4,Flat 57E,Glasgow,L8A 8QQ
42919959,69119377,67690961,41.31,2,733 King oval,Liverpool,HA5A 1JX
34239115,17895266,98751200,44.27,4,Flat 75v,Bristol,S8 0TA
74577259,03164532,22906821,45.81,2,Studio 1,Newcastle,G4 5ZU
92868855,48831743,10688163,61.63,4,8 Ian street,London,E0 1TA
07143612,74310175,73781933,16.72,4,5 Jay forge,Edinburgh,HU72 1DJ
12795709,42987318,93586706,162.45,1,Flat 2,London,KA4 9AU
02198825,46653527,46277374,34.21,3,86 Goddard lodge,Cardiff,G6 9SR
35632471,80597334,33153025,23.01,4,Flat 2,Belfast,WN4 9HB
79519263,66752529,45793289,31.37,3,Flat 42I,Manchester,G2 6WW
37163614,77532232,96534941,484.88,2,Flat 11,Birmingham,B39 5TY
63492827,15450456,19321195,75.27,4,307 Charlotte garden,Glasgow,B9 7TU
17083720,82595833,37028606,12.4,2,Flat 4,Liverpool,E3H 3RL
85474392,65984505,32596846,7.73,3,Studio 14I,Manchester,E35 4RR
43282497,34757279,33748161,44.88,1,435 Richard green,Bristol,AB4E 9RN
68914026,08624130,94412162,24.35,3,Flat 55,Newcastle,L81 7QQ
45402153,61342136,75946515,35.53,3,05 Caroline fork,London,HX4Y 2LX
91523507,56339644,58625962,94.2,3,9 Hall run,Edinburgh,W7F 5UA
59638029,15715192,47833906,23.54,1,Studio 00,Cardiff,NP5E 8JD
72549050,60639277,73781933,16.72,3,12 White lake,Belfast,OL5 8XR
28123375,23994514,41700920,908.66,2,Studio 4,Manchester,RH49 9FL
99639202,47362229,06424744,8.4,2,Flat 92,Birmingham,N90 9UZ
17560628,07311941,62201054,30.29,1,Studio 95,Glasgow,NE0 3EJ
09568583,69520374,49377369,86.65,3,2 Chapman crossing,Liverpool,SE7P 4RQ
78307230,68832251,57644040,79.73,4,277 Dawson forks,Bristol,B0 5YJ
46227738,22822245,20593375,16.56,1,Flat 2,Newcastle,JE16 8BL
34724353,94440522,34142232,90.71,2,361 Lorraine path,Belfast,RG12 7ZD
35696754,72006731,29041118,12.49,1,2 Edward gardens,London,SN0N 4PG
38730183,03292724,23988989,49.52,1,Studio 94A,Edinburgh,DD80 6NL
05797358,94619520,50586176,67.3,1,Flat 32,Cardiff,RH82 8ZA
98032562,36724655,33068954,326.25,3,66 Dennis tunnel,Belfast,N67 6TG
52639332,99044916,37992704,22.39,4,35 Stephen ferry,Liverpool,S60 6ES
34512608,73939553,44698588,63.92,4,Flat 5,Manchester,E6 4GW
04605054,71159365,68195170,23.42,2,Flat 7,Birmingham,BH8V 0XF
88403618,72825077,87481898,45.99,4,96 Jacqueline underpass,Glasgow,B2E 4TP
52124648,06707128,58625962,94.2,2,138 Bailey corners,Liverpool,E00 7AS
96897219,20753387,77407910,37.76,2,53 James forks,Bristol,N8 1JH
76238952,61031680,68674913,86.36,4,8 Mandy causeway,Newcastle,B1 8EZ
07753970,03657457,59817651,11.04,2,45 Christian meadows,London,W86 6WS
94687015,37727218,95635827,61.45,2,520 James rue,Edinburgh,W4B 5BR
81560596,70042459,93586706,162.45,1,732 Clarke heights,Cardiff,BN6 6YY
08189653,05091675,36102105,176.61,3,Studio 8,Belfast,G71 6WG
48769558,99068315,89571012,45.92,2,Studio 11,Manchester,LL6 9SR
45250439,29947055,63771881,24.4,2,Flat 46c,Birmingham,S31 0HN
00657955,60601923,57328235,27.85,1,0 Joanna harbor,Glasgow,JE7W 8ZH
30522928,88264944,49377369,86.65,4,Flat 60R,Liverpool,OL9 7GU
06678573,91003480,04057937,620.52,1,80 Phillips turnpike,Bristol,W25 3BL
92807588,72825077,00237287,74.25,3,96 Jacqueline underpass,Glasgow,B2E 4TP
26663089,08852925,25230208,897.03,2,6 Williams plaza,Newcastle,N03 0PR
85048887,33725155,85027780,25.72,3,Flat 5,London,DE5V 9LW
44928267,29702714,14323341,11.62,1,Flat 64,Edinburgh,OL1N 2NR
88501753,02272205,69781941,19.85,2,54 Richardson brooks,Cardiff,DG0 0ZR
94081963,15450456,68674913,86.36,2,307 Charlotte garden,Glasgow,B9 7TU
08690747,53125442,98496356,45.18,2,469 Freeman rapid,Belfast,ZE5N 6SU
13896661,53125442,10688163,61.63,2,469 Freeman rapid,Belfast,ZE5N 6SU
61757003,18671899,87951673,91.72,2,Flat 81,Manchester,B6 4YJ
56455067,46101647,49377369,86.65,3,Flat 4,Birmingham,BS06 6QF
92364198,19269613,99003221,31.51,4,7 Albert circles,Glasgow,LA00 7SA
96402794,74207405,49377369,86.65,3,Flat 38,Liverpool,ST0 8HG
96040925,90847977,18703140,193.69,2,1 Paige well,Manchester,GY9B 5XF
55076635,10619062,60936185,89.37,2,Studio 31,Bristol,L4 4JL
53069036,07496560,93397593,5.01,1,50 Cooper vista,Newcastle,BB54 9WY
58133944,28960174,53895138,5.52,2,Studio 50,London,TA6V 9WR
37866091,17928318,73781933,16.72,2,4 Hugh overpass,Edinburgh,E5E 6TP
85115988,61719139,29041118,12.49,4,Flat 1,Cardiff,W9D 2UU
24597610,52476050,63771881,24.4,3,Studio 72p,Belfast,SR62 1ZS
87026568,92266461,73480194,36.59,3,69 Jennifer parkway,Manchester,CM2 4NE
29403844,96538737,73480194,36.59,1,Flat 3,Birmingham,GY0V 4BF
29242196,69683405,00632341,19.27,2,Flat 2,Glasgow,S44 4LU
39952495,65388530,47952768,9.86,2,Flat 38n,Liverpool,L8E 7DF
43167897,03740401,68195170,23.42,1,5 Jake glens,Bristol,L0 0BE
54127111,65984505,02475546,17.55,4,Studio 14I,Manchester,E35 4RR
02649805,65388530,44459036,39.3,3,Flat 38n,Liverpool,L8E 7DF
48582452,59304408,44459036,39.3,1,19 Terence way,Newcastle,G95 2LA
54932700,40243953,56518902,240.02,4,Studio 69v,Edinburgh,LL24 7AQ
72274764,41854631,23324497,72.32,1,Flat 61,Edinburgh,CW25 1NL
64882322,92015999,34384073,25.9,2,1 Stephanie drives,London,DH4 0HS
03107457,64417318,67105521,22.07,3,Flat 43,Edinburgh,HD99 4QN
22929221,89330014,85052440,625.35,1,1 Nigel tunnel,London,E7W 9NH
34410363,61515945,34384073,25.9,1,Flat 73,Edinburgh,BT4W 1FP
59105662,24747793,66850668,22.17,1,Flat 40q,Cardiff,W02 0XX
58118603,55177352,09985188,27.97,3,Studio 4,Belfast,G84 3DG
93294826,28042519,04057937,620.52,2,667 Amber road,Manchester,B1 4HS
97183360,74506627,77489036,59.65,2,Flat 89u,Birmingham,E6 8XP
29247324,43331585,62029885,38.51,1,Studio 8,Glasgow,CH9W 5EF
57054846,14622950,63970118,7.69,2,6 Wood shoals,Liverpool,HG8H 0EB
62618386,00915860,62029885,38.51,2,Studio 3,Bristol,N72 1NS
00026259,03130129,14842685,548.3,2,Studio 8,Newcastle,RH6 8ZT
17749755,63479563,16221641,47.99,4,9 Moore mews,London,BN62 4HQ
82728905,66165699,68388837,49.96,4,Studio 54j,Edinburgh,LA37 8NN
79568397,02318251,47724276,609.19,2,641 Davis street,Cardiff,N20 1QP
02211455,99362953,69894676,15.28,1,Flat 93R,Belfast,ML3 1TE
97258970,52622975,46295787,14.18,2,Studio 4,Manchester,CR7V 0PN
39336017,12309295,03657114,72.8,2,Flat 71i,Birmingham,DA55 2SU
99245742,27957760,87951673,91.72,2,036 Walsh ramp,Glasgow,G25 8FN
28296391,02937028,47724276,609.19,4,8 Lynne hills,Liverpool,W4 4JT
16498290,17999652,33068954,326.25,3,Flat 2,Edinburgh,N25 6AW
76350419,79926851,41418131,31.73,1,Flat 56s,Bristol,N3E 1PU
79257137,56339644,41222412,9.07,1,9 Hall run,Edinburgh,W7F 5UA
18111507,86202132,78814276,48.79,1,6 Luke burgs,Newcastle,L3 9TF
71632419,21772576,49377369,86.65,2,192 Preston stravenue,London,L7 1TP
09643515,83307369,02475546,17.55,1,65 Declan falls,Edinburgh,W7K 4EE
85770589,45371504,34142232,90.71,4,Flat 7,Cardiff,W8F 8DZ
70383307,66714579,96392838,64.14,1,675 Kevin ways,Glasgow,LD6 0WY
31558984,07217206,41607033,832.11,3,Flat 2,Belfast,L82 5YP
50436488,89366076,90716496,12.52,4,Studio 38l,Manchester,SK4P 5TB
25660611,33873644,82613014,115.06,4,Flat 13,Birmingham,LA4N 2RG
15013581,31440021,11460278,14.22,3,Flat 19,Belfast,PR20 1WP
13533233,90282911,17647971,96.14,1,58 Maurice divide,Glasgow,E6 2FE
58503646,25580213,77028385,567.5,1,Studio 90,Liverpool,EN2P 4JW
42340311,44238821,71602929,11.22,2,686 Dixon common,Bristol,TN45 7RP
71759722,00927844,87481898,45.99,3,237 Walker fort,Newcastle,SS4H 0BQ
87536584,85055954,44698588,63.92,1,Studio 1,London,S7K 7ZU
39827631,05652967,90208496,17.86,4,92 Conor hill,Edinburgh,G5 1QF
60848895,86179856,59905432,40.92,3,Flat 7,Cardiff,IP94 2WR
19625683,87159184,95327753,707.75,2,Flat 5,Belfast,BL46 1LH
20047496,37088534,47475558,80.83,3,4 Oliver summit,Manchester,CV23 2HN
04641314,57701306,95327753,707.75,3,08 Lynda river,Birmingham,DN6P 3YU
13586741,47341808,44459036,39.3,4,Studio 9,Manchester,M6 3PT
21563345,68832251,34416685,27.05,4,277 Dawson forks,Bristol,B0 5YJ
51016076,32787468,80262685,54.48,1,Flat 37S,Belfast,WF2H 3ZH
88765448,51211367,91748358,56.08,1,Studio 47t,Glasgow,WS9M 5LA
64876338,92229152,96594043,580.44,1,1 Naomi pines,Liverpool,E8G 5TZ
78160440,96311301,53895138,5.52,3,Studio 34P,Liverpool,L42 4HA
82652175,25569597,56864779,717.73,2,Studio 33s,Bristol,EX73 6JZ
34408569,45040302,67690961,41.31,2,8 Summers crescent,Newcastle,EH36 6XX
40316422,37727218,86223680,131.7,2,520 James rue,Edinburgh,W4B 5BR
01826216,46035428,41418131,31.73,4,Flat 2,Manchester,G47 4QX
73747676,30723800,11623983,42.77,2,50 Patel falls,London,HD8 3AN
78263299,68114479,53895138,5.52,4,Studio 77q,Edinburgh,L8C 1EX
99552134,07491903,77032727,51.42,2,6 Berry mall,Cardiff,N1W 7TB
13037378,42622752,68195170,23.42,4,Flat 03,Belfast,W5A 1UN
64537502,01395751,55522726,40.17,4,98 King groves,Belfast,KT63 7QW
08677949,46101647,35031405,42.64,2,Flat 4,Birmingham,BS06 6QF
18544098,18382072,95776453,22.99,2,Flat 0,Newcastle,BA46 8ZX
70526637,16410023,68195170,23.42,2,Flat 78,Manchester,SO9B 6BD
32415237,92015999,14878853,19.56,4,1 Stephanie drives,London,DH4 0HS
31936791,34736877,74965952,39.92,4,Studio 7,Manchester,OL7 2FS
70715143,94768144,11021272,990.6,4,64 Clive orchard,Birmingham,E2A 6RR
17759320,69520374,11021272,990.6,4,2 Chapman crossing,Liverpool,SE7P 4RQ
86490197,61031680,10609692,115.04,3,8 Mandy causeway,Newcastle,B1 8EZ
36564288,04757508,47180166,862.34,2,Flat 07,Glasgow,SR3N 9ND
99793890,90282911,06489732,62.51,4,58 Maurice divide,Glasgow,E6 2FE
02587137,94739747,47180166,862.34,1,Flat 21G,Liverpool,S5 9UH
92659072,03314835,66703700,47.69,2,07 Kerr gardens,Liverpool,FK2 5UJ
53665992,46224293,44958566,87.74,3,6 Terry keys,Bristol,TD3N 6RW
42815177,14050944,57085125,70.46,3,531 Taylor extension,Newcastle,W32 3GL
15385743,21827097,66912896,58.74,4,Studio 6,London,RM3 3SS
25314454,70106844,66951063,794.28,3,70 Porter springs,Edinburgh,HD0 6WY
55719248,61546724,93397593,5.01,2,8 Richardson tunnel,Cardiff,NW8R 3WF
76396440,22822245,34500433,21.37,4,Flat 2,Newcastle,JE16 8BL
48360722,33725155,95635827,61.45,4,Flat 5,London,DE5V 9LW
06885790,92872865,66951063,794.28,1,028 Davies skyway,Belfast,PR4N 4QL
06787662,90428542,66703700,47.69,1,Studio 9,Manchester,W9 2AR
58180806,39357137,17572222,87.9,3,Flat 7,Birmingham,E4 7YZ
62494511,30723800,67690961,41.31,1,50 Patel falls,London,HD8 3AN
43862619,01165798,73781933,16.72,4,28 Wilson springs,Birmingham,LN5R 5YB
44327764,90549822,75286654,48.93,2,Studio 36,Glasgow,PE5 0RL
18602446,16236144,44459036,39.3,3,89 Evans crossroad,Belfast,AL9X 1PY
10685515,30768403,87951673,91.72,1,493 Iain avenue,Liverpool,NP6 1UN
47324347,63877063,68195170,23.42,3,61 Alexander shoal,Bristol,DN6N 7UA
43055947,03886832,33153025,23.01,4,76 Williams isle,Newcastle,M27 2AE
56646306,09242788,02585942,48.36,2,Studio 92w,London,B8U 6DS
92331132,82649745,67690961,41.31,2,Studio 64V,Edinburgh,HA0H 3DJ
09458043,89171506,04057937,620.52,2,Flat 44,Cardiff,W49 2RH
57757462,06863842,99003221,31.51,1,Studio 6,Belfast,L4 3GP
18382779,01752740,20593375,16.56,2,Flat 5,Manchester,DD7E 3QJ
63424256,68017216,42699570,33.04,2,Flat 11s,Birmingham,DD6 1FL
99880844,65057962,43240521,82.98,2,602 Elaine ford,Glasgow,HX01 7PH
76555736,84935806,20593375,16.56,3,014 Hill lodge,Liverpool,IP32 2ZH
11597428,89817230,26952377,503.87,1,960 Peter way,Bristol,B1 1JE
58306563,99195991,19689248,23.3,3,5 Harris square,Newcastle,CF14 7RT
97297059,28334912,56518902,240.02,1,918 Murphy highway,London,S0 2UP
05698150,84567650,59905432,40.92,2,Flat 0,Edinburgh,AL24 6PJ
14111158,69480862,36960484,500.92,1,975 Anna fall,Cardiff,ZE0B 4FB
71757513,36973703,90332393,646.68,3,9 Kay port,Belfast,BR0 2QQ
18875130,80597334,22906821,45.81,2,Flat 2,Belfast,WN4 9HB
58453662,02937028,25230208,897.03,1,8 Lynne hills,Liverpool,W4 4JT
98409660,29803090,66912896,58.74,2,9 Janet overpass,Manchester,N66 6DB
70962053,69952746,80262685,54.48,2,235 Jones spurs,Birmingham,DA32 2HF
10404179,40518613,22906821,45.81,4,Studio 0,Glasgow,HS9B 1PP
25103974,08852925,56112656,27.12,1,6 Williams plaza,Newcastle,N03 0PR
60718575,76494812,75286654,48.93,4,Flat 04,Liverpool,M7 2ZH
39381611,00481988,31884740,913.6,1,3 Garner dale,Bristol,YO0Y 0HG
36238942,31351766,36745877,24.36,3,67 Wilkins shoals,Newcastle,L7U 3EB
03874123,98870737,64062315,832.06,4,Studio 5,Cardiff,L3G 9RS
04343807,46653527,40793538,84.39,1,86 Goddard lodge,Cardiff,G6 9SR
39489905,46861283,40793538,84.39,4,Studio 16f,London,G7T 2TU
56978072,42622752,31143629,84.83,1,Flat 03,Belfast,W5A 1UN
38810965,87237659,78310150,544.52,4,40 Arthur plaza,Edinburgh,G2T 8DA
82982046,18948450,23988989,49.52,3,9 Rosemary island,Cardiff,B5 7LU
99440914,38250677,59336907,532.66,2,41 Lesley fords,Belfast,PR85 9ZA
37275738,36101119,47760546,156.25,1,Flat 41f,Manchester,M8H 4SS
83693427,17742849,47760546,156.25,2,Flat 43K,Birmingham,DN7W 0BZ
08263724,87590337,45793289,31.37,3,Flat 6,Glasgow,SK3 3NX
46017556,65387368,68195170,23.42,1,Studio 0,Manchester,E37 6XU
15014627,46273789,53972096,41.68,1,Flat 5,Liverpool,DA87 8DL
88508374,87443261,91748358,56.08,2,Studio 93m,Bristol,UB96 7ZX
81230937,34189658,04121192,35.9,2,1 Watts locks,Birmingham,UB6M 1DU
70670770,76056611,88649242,6.76,3,Studio 1,Newcastle,RH9 7JE
02269370,82499537,96534941,484.88,3,7 Jones tunnel,London,N28 8PJ
13479326,77379849,69889622,23.76,4,603 Ford cove,Birmingham,WN86 3YB
75664520,51253482,68890420,14.65,2,0 William inlet,Edinburgh,W0F 4DH
76383185,69777987,63974571,69.66,3,257 David alley,Cardiff,G4 7BU
28828047,60450401,66951063,794.28,4,Flat 39E,Belfast,N41 2EL
72368202,92291212,33353748,28.68,4,54 Hilary shores,Manchester,E50 4RB
88453772,25569597,67690961,41.31,1,Studio 33s,Bristol,EX73 6JZ
76889302,48245753,67690961,41.31,4,Studio 7,Birmingham,PR29 3GP
35381425,23028436,19714736,5.86,3,22 Woodward corner,Glasgow,L9C 5PP
01455090,01727110,22906821,45.81,3,1 Russell wells,Liverpool,E63 3TU
40907470,06171050,33353748,28.68,3,Studio 03,Bristol,E4S 3FY
73630781,89817230,47808325,318.25,2,960 Peter way,Bristol,B1 1JE
38160522,72937322,96392838,64.14,4,Flat 02o,Newcastle,CB2 3ZQ
14464992,66165699,40343883,40.54,2,Studio 54j,Edinburgh,LA37 8NN
64490665,99512381,29041118,12.49,3,Flat 76i,London,N2C 3PW
23690248,46510186,02585942,48.36,4,930 Neil spur,Edinburgh,GY9 0GG
80555467,64733198,40343883,40.54,2,Flat 86H,Cardiff,M23 2BN
03062909,39879050,27643882,16.16,1,Studio 22,Belfast,L5 7FG
95568335,35684759,63771881,24.4,1,82 Jennifer plaza,Manchester,E5T 2FJ
23953763,46371318,70526231,49.61,3,213 Brennan square,Birmingham,LL21 1SZ
38109118,24372153,35632473,77.52,4,Flat 62W,Glasgow,W7K 4LQ
22343208,75559976,41418131,31.73,2,Studio 9,Liverpool,UB05 1TQ
61856083,49459730,96673451,34.35,1,Flat 55,Bristol,YO7 2BR
15011966,94619520,68895358,99.03,2,Flat 32,Cardiff,RH82 8ZA
17103657,17529905,28955179,13.66,4,Studio 3,Newcastle,G4W 4UR
00920183,50255697,36999512,10.27,1,107 Sara freeway,London,TF33 0LY
75112570,17970226,68895358,99.03,1,Studio 74V,Edinburgh,DG0E 0FH
11794843,07392417,21097867,901.34,3,Flat 3,Cardiff,B3 5HY
13389247,51025663,22895462,548.1,3,25 Maurice views,Belfast,S2 2RY
82544073,64242824,22906821,45.81,4,3 Morris bridge,Manchester,N0 7QY
56540876,81696735,61463942,48.97,2,Flat 3,Birmingham,TF9 3TU
60794984,82941718,86006498,173.8,2,78 Shaw key,Newcastle,HG25 5BF
90209597,57039372,45056694,375.4,1,79 Hughes neck,Glasgow,CT6 6BD
01714299,45520513,44459036,39.3,3,9 Geoffrey isle,Liverpool,FK2 7PX
70156805,94364505,96594043,580.44,3,57 Elizabeth mill,Bristol,W02 7BL
99392053,84843842,44459036,39.3,3,19 Colin pines,Newcastle,BN4A 3XQ
85287454,75584516,90669708,73.89,1,Flat 18e,London,WR2N 3WY
00780935,94313132,60382259,90.44,2,1 Martin ways,Edinburgh,B28 7RG
55674323,61031680,22906821,45.81,1,8 Mandy causeway,Newcastle,B1 8EZ
89255697,50255697,49362178,94.04,2,107 Sara freeway,London,TF33 0LY
01013721,32787468,20593375,16.56,4,Flat 37S,Belfast,WF2H 3ZH
84570884,68314614,11460278,14.22,4,2 Rose cliffs,Cardiff,WV1B 2EE
91577524,05868356,61463942,48.97,1,Studio 87h,Belfast,LD2E 0PY
69521176,99362953,51950618,32.89,4,Flat 93R,Belfast,ML3 1TE
36330127,31440021,43823817,26.69,3,Flat 19,Belfast,PR20 1WP
16224434,23748743,56864779,717.73,1,72 Josephine circle,Edinburgh,IM1 3ND
